DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE
25/01/2015,15/9-F-1 C,0.00,249.684,101.358
26/01/2015,15/9-F-1 C,0.00,261.648,101.595
27/01/2015,15/9-F-1 C,0.00,265.823,101.495
28/01/2015,15/9-F-1 C,0.00,268.731,101.377
29/01/2015,15/9-F-1 C,13.69,258.506,103.736
30/01/2015,15/9-F-1 C,14.73,260.211,101.820
31/01/2015,15/9-F-1 C,0.00,263.146,100.630
01/02/2015,15/9-F-1 C,0.00,265.351,100.465
02/02/2015,15/9-F-1 C,0.00,267.762,100.430
03/02/2015,15/9-F-1 C,0.00,276.378,100.719
04/02/2015,15/9-F-1 C,0.00,282.140,100.736
05/02/2015,15/9-F-1 C,0.00,285.124,100.700
06/02/2015,15/9-F-1 C,0.00,286.917,100.659
07/02/2015,15/9-F-1 C,0.00,288.278,100.615
08/02/2015,15/9-F-1 C,0.00,289.512,100.573
09/02/2015,15/9-F-1 C,10.48,273.925,107.035
10/02/2015,15/9-F-1 C,24.00,266.945,107.795
11/02/2015,15/9-F-1 C,24.00,259.991,107.911
12/02/2015,15/9-F-1 C,24.00,254.664,107.941
13/02/2015,15/9-F-1 C,24.00,248.494,107.055
14/02/2015,15/9-F-1 C,24.00,247.161,107.928
15/02/2015,15/9-F-1 C,24.00,242.392,106.969
16/02/2015,15/9-F-1 C,24.00,242.438,107.906
17/02/2015,15/9-F-1 C,24.00,240.784,107.897
18/02/2015,15/9-F-1 C,24.00,237.658,107.979
19/02/2015,15/9-F-1 C,24.00,230.460,108.072
20/02/2015,15/9-F-1 C,24.00,226.449,108.035
21/02/2015,15/9-F-1 C,24.00,223.744,108.019
22/02/2015,15/9-F-1 C,24.00,222.108,108.010
23/02/2015,15/9-F-1 C,24.00,221.137,107.998
24/02/2015,15/9-F-1 C,24.00,219.292,108.041
25/02/2015,15/9-F-1 C,24.00,211.716,108.177
26/02/2015,15/9-F-1 C,24.00,208.736,108.164
27/02/2015,15/9-F-1 C,18.94,208.160,108.104
28/02/2015,15/9-F-1 C,0.00,214.945,104.493
01/03/2015,15/9-F-1 C,0.00,220.501,103.265
02/03/2015,15/9-F-1 C,0.00,225.388,102.678
03/03/2015,15/9-F-1 C,0.00,230.093,102.319
04/03/2015,15/9-F-1 C,0.00,225.526,97.880
05/03/2015,15/9-F-1 C,0.00,239.261,101.761
06/03/2015,15/9-F-1 C,0.00,243.178,101.472
07/03/2015,15/9-F-1 C,0.00,247.131,101.206
08/03/2015,15/9-F-1 C,0.00,254.258,100.795
09/03/2015,15/9-F-1 C,0.00,264.922,101.115
10/03/2015,15/9-F-1 C,0.00,269.466,101.092
11/03/2015,15/9-F-1 C,0.00,272.238,101.035
12/03/2015,15/9-F-1 C,0.00,275.019,100.972
13/03/2015,15/9-F-1 C,0.00,277.665,100.909
14/03/2015,15/9-F-1 C,0.00,280.231,100.847
15/03/2015,15/9-F-1 C,0.00,282.771,100.790
16/03/2015,15/9-F-1 C,0.00,284.848,100.734
17/03/2015,15/9-F-1 C,0.00,286.797,100.683
18/03/2015,15/9-F-1 C,8.21,269.115,106.697
19/03/2015,15/9-F-1 C,24.00,260.264,107.953
20/03/2015,15/9-F-1 C,24.00,252.946,108.140
21/03/2015,15/9-F-1 C,24.00,246.419,108.176
22/03/2015,15/9-F-1 C,24.00,241.947,108.157
23/03/2015,15/9-F-1 C,24.00,238.198,108.140
24/03/2015,15/9-F-1 C,24.00,235.289,108.118
25/03/2015,15/9-F-1 C,24.00,232.311,108.131
26/03/2015,15/9-F-1 C,24.00,223.935,108.245
27/03/2015,15/9-F-1 C,24.00,220.575,108.192
28/03/2015,15/9-F-1 C,24.00,217.491,108.185
29/03/2015,15/9-F-1 C,24.00,214.867,108.176
30/03/2015,15/9-F-1 C,24.00,212.165,108.204
31/03/2015,15/9-F-1 C,24.00,208.367,108.215
01/04/2015,15/9-F-1 C,6.46,211.300,107.041
02/04/2015,15/9-F-1 C,0.00,221.507,103.488
03/04/2015,15/9-F-1 C,0.00,226.788,102.746
04/04/2015,15/9-F-1 C,0.00,231.520,102.311
05/04/2015,15/9-F-1 C,0.00,236.028,101.881
06/04/2015,15/9-F-1 C,0.00,237.980,101.669
07/04/2015,15/9-F-1 C,0.00,241.965,101.117
08/04/2015,15/9-F-1 C,0.00,256.405,101.338
09/04/2015,15/9-F-1 C,0.00,263.096,101.291
10/04/2015,15/9-F-1 C,0.00,266.314,101.196
11/04/2015,15/9-F-1 C,0.00,269.169,101.111
12/04/2015,15/9-F-1 C,0.00,272.010,101.033
13/04/2015,15/9-F-1 C,0.00,274.895,100.960
14/04/2015,15/9-F-1 C,0.00,277.401,100.892
15/04/2015,15/9-F-1 C,0.00,280.046,100.831
16/04/2015,15/9-F-1 C,0.00,282.627,100.771
17/04/2015,15/9-F-1 C,0.00,285.053,100.716
18/04/2015,15/9-F-1 C,0.00,287.457,100.667
19/04/2015,15/9-F-1 C,0.00,289.779,100.618
20/04/2015,15/9-F-1 C,16.38,275.587,106.038
21/04/2015,15/9-F-1 C,24.00,262.874,108.015
22/04/2015,15/9-F-1 C,24.00,253.767,108.159
23/04/2015,15/9-F-1 C,24.00,248.853,108.145
24/04/2015,15/9-F-1 C,24.00,246.511,108.107
25/04/2015,15/9-F-1 C,24.00,243.700,108.111
26/04/2015,15/9-F-1 C,24.00,241.288,108.102
27/04/2015,15/9-F-1 C,24.00,236.871,108.197
28/04/2015,15/9-F-1 C,24.00,232.028,108.227
29/04/2015,15/9-F-1 C,24.00,224.943,108.289
30/04/2015,15/9-F-1 C,24.00,219.367,108.284
01/05/2015,15/9-F-1 C,24.00,213.641,108.289
02/05/2015,15/9-F-1 C,24.00,210.479,108.264
03/05/2015,15/9-F-1 C,9.71,209.442,108.233
04/05/2015,15/9-F-1 C,0.00,222.564,103.890
05/05/2015,15/9-F-1 C,0.00,228.487,102.973
06/05/2015,15/9-F-1 C,0.00,233.351,102.400
07/05/2015,15/9-F-1 C,0.00,237.828,101.922
08/05/2015,15/9-F-1 C,0.00,243.559,101.639
09/05/2015,15/9-F-1 C,0.00,255.884,101.667
10/05/2015,15/9-F-1 C,0.00,261.716,101.516
11/05/2015,15/9-F-1 C,0.00,265.168,101.383
12/05/2015,15/9-F-1 C,0.00,268.499,101.268
13/05/2015,15/9-F-1 C,0.00,271.381,101.165
14/05/2015,15/9-F-1 C,0.00,274.266,101.074
15/05/2015,15/9-F-1 C,0.00,276.843,100.991
16/05/2015,15/9-F-1 C,0.00,279.081,100.915
17/05/2015,15/9-F-1 C,0.00,281.350,100.848
18/05/2015,15/9-F-1 C,0.00,283.691,100.787
19/05/2015,15/9-F-1 C,0.00,285.938,100.728
20/05/2015,15/9-F-1 C,0.00,287.891,100.673
21/05/2015,15/9-F-1 C,0.00,289.624,100.623
22/05/2015,15/9-F-1 C,7.38,264.551,107.264
23/05/2015,15/9-F-1 C,24.00,249.195,108.201
24/05/2015,15/9-F-1 C,24.00,235.035,108.320
25/05/2015,15/9-F-1 C,24.00,233.431,108.169
26/05/2015,15/9-F-1 C,24.00,232.597,108.103
27/05/2015,15/9-F-1 C,20.00,232.834,107.774
28/05/2015,15/9-F-1 C,0.00,238.930,105.420
29/05/2015,15/9-F-1 C,0.00,246.977,102.152
30/05/2015,15/9-F-1 C,0.00,250.832,101.504
31/05/2015,15/9-F-1 C,0.00,256.606,101.340
01/06/2015,15/9-F-1 C,0.00,267.100,101.387
02/06/2015,15/9-F-1 C,0.00,272.300,101.241
03/06/2015,15/9-F-1 C,0.00,275.183,101.107
04/06/2015,15/9-F-1 C,0.00,277.793,101.001
05/06/2015,15/9-F-1 C,0.00,280.277,100.906
06/06/2015,15/9-F-1 C,0.00,282.430,100.817
07/06/2015,15/9-F-1 C,0.00,284.312,100.743
08/06/2015,15/9-F-1 C,0.00,286.122,100.676
09/06/2015,15/9-F-1 C,0.00,287.872,100.618
10/06/2015,15/9-F-1 C,0.00,289.517,100.564
11/06/2015,15/9-F-1 C,10.45,272.691,106.904
12/06/2015,15/9-F-1 C,24.00,259.989,107.945
13/06/2015,15/9-F-1 C,24.00,253.845,108.068
14/06/2015,15/9-F-1 C,24.00,251.027,108.025
15/06/2015,15/9-F-1 C,24.00,248.768,108.022
16/06/2015,15/9-F-1 C,24.00,246.559,107.989
17/06/2015,15/9-F-1 C,24.00,245.202,107.960
18/06/2015,15/9-F-1 C,24.00,243.781,107.963
19/06/2015,15/9-F-1 C,24.00,242.223,107.977
20/06/2015,15/9-F-1 C,24.00,240.638,107.984
21/06/2015,15/9-F-1 C,24.00,239.848,107.956
22/06/2015,15/9-F-1 C,24.00,238.533,108.004
23/06/2015,15/9-F-1 C,24.00,234.811,108.148
24/06/2015,15/9-F-1 C,24.00,228.969,108.224
25/06/2015,15/9-F-1 C,24.00,226.215,108.169
26/06/2015,15/9-F-1 C,24.00,224.206,108.162
27/06/2015,15/9-F-1 C,24.00,221.041,108.196
28/06/2015,15/9-F-1 C,24.00,218.237,108.216
29/06/2015,15/9-F-1 C,24.00,213.810,108.287
30/06/2015,15/9-F-1 C,24.00,207.219,108.320
01/07/2015,15/9-F-1 C,3.29,211.121,107.516
02/07/2015,15/9-F-1 C,0.00,223.997,103.610
03/07/2015,15/9-F-1 C,0.00,229.863,102.835
04/07/2015,15/9-F-1 C,0.00,234.760,102.269
05/07/2015,15/9-F-1 C,0.00,238.998,101.855
06/07/2015,15/9-F-1 C,0.00,243.327,101.521
07/07/2015,15/9-F-1 C,0.00,250.521,101.443
08/07/2015,15/9-F-1 C,0.00,261.363,101.526
09/07/2015,15/9-F-1 C,0.00,266.491,101.418
10/07/2015,15/9-F-1 C,0.00,269.740,101.314
11/07/2015,15/9-F-1 C,0.00,272.552,101.224
12/07/2015,15/9-F-1 C,0.00,275.278,101.139
13/07/2015,15/9-F-1 C,0.00,277.849,101.061
14/07/2015,15/9-F-1 C,0.00,280.240,100.986
15/07/2015,15/9-F-1 C,0.00,282.433,100.918
16/07/2015,15/9-F-1 C,0.00,284.584,100.858
17/07/2015,15/9-F-1 C,0.00,286.930,100.800
18/07/2015,15/9-F-1 C,0.00,288.936,100.740
19/07/2015,15/9-F-1 C,0.00,290.724,100.691
20/07/2015,15/9-F-1 C,0.00,292.301,100.645
21/07/2015,15/9-F-1 C,0.00,293.689,100.595
22/07/2015,15/9-F-1 C,22.38,268.879,107.548
