Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2012-01-01,4893.72,44227400,35996600000,28020300.0,0,94397500,813.8969999999999,1.3031028016209536,0.0009459993229597153,627.7110850725221,0.0
2012-02-01,4907.06,44631000,36347600000,29210400.0,0,96229600,814.403,1.3028906839587442,0.00094414310910241,627.7110850725221,0.0
2012-03-01,4891.4,45017300,36690200000,30483400.0,0,98079000,815.0260000000001,1.3031395878851026,0.0009463234115744266,627.7110850725221,0.0
2012-04-01,4877.04,45398400,37028800000,31810000.0,0,99967500,815.6419999999999,1.3033666133617394,0.0009483378936049338,627.7110850725221,0.0
2012-05-01,4850.5,45759800,37352800000,33213000.0,0,101898000,816.278,1.3037852541441355,0.000952100276053972,627.7110850725221,0.0
2012-06-01,4829.03,46090400,37650000000,34560600.0,0,103734000,816.8739999999999,1.3041256488302395,0.0009551822567061934,627.7110850725221,0.0
2012-07-01,4812.21,46431000,37956200000,35970200.0,0,105656000,817.475,1.304393891348727,0.0009576213793518695,627.7110850725221,0.0
2012-08-01,4820.33,46567400,38075100000,36524000.0,0,106436000,817.6339999999999,1.3042642172716876,0.000956441136979709,627.7110850725221,0.0
2012-09-01,4856.73,46584200,38089400000,36570700.0,0,106525000,817.6460000000001,1.3036868825746961,0.0009512124471564942,627.7110850725221,0.0
2012-10-01,4853.54,46921100,38381300000,37711500.0,0,107965000,817.9960000000001,1.3037372306504902,0.0009516666897750844,627.7110850725221,0.0
2012-11-01,4798.57,47260400,38685500000,39108500.0,0,110047000,818.561,1.3046124875854517,0.0009596154300365579,627.7110850725221,0.0
2012-12-01,4828.45,47552500,38954300000,40524800.0,0,111931000,819.185,1.3041348750732205,0.000955266000703601,627.7110850725221,0.0
2013-01-01,4821.63,47851800,39228100000,42031600.0,0,113916000,819.784,1.3042434876740387,0.000956252656895663,627.7110850725221,0.0
2013-02-01,4846.15,48113900,39464400000,43405400.0,0,115719000,820.2289999999999,1.3038540456479162,0.0009527219027661047,627.7110850725221,0.0
2013-03-01,4859.34,48272000,39600700000,44208800.0,0,116868000,820.3660000000001,1.3036457143979328,0.0009508413537966653,627.7110850725221,0.0
2013-04-01,4922.44,48493500,39804100000,45356000.0,0,118362000,820.813,1.302647261907315,0.0009420182334330424,627.7110850725221,0.0
2013-05-01,4893.72,48770100,40062600000,46970500.0,0,120422000,821.459,1.3031028016209536,0.0009459993229597153,627.7110850725221,0.0
